time      , temperature_2m_max, temperature_2m_min, precipitation_sum, uv_index_max, location      , date
2025-07-25,               25.0,               16.3,               0.1,         6.8 , Angers        , 2025-07-25
2025-07-26,               25.4,               14.5,               0.0,         7.2 , Angers        , 2025-07-26
2025-07-27,               19.8,               16.6,              14.4,         6.6 , Angers        , 2025-07-27
2025-07-28,               23.3,               13.7,               0.0,         6.7 , Angers        , 2025-07-28
2025-07-29,               25.6,               16.9,               0.0,         6.45, Angers        , 2025-07-29
2025-07-30,               28.5,               16.4,               0.0,         6.7 , Angers        , 2025-07-30
2025-07-31,               30.2,               13.9,               0.0,         6.75, Angers        , 2025-07-31
2025-08-01,               23.5,               14.1,               0.9,         3.85, Angers        , 2025-08-01
2025-07-25,               24.9,               16.1,               0.0,         6.55, Saumur        , 2025-07-25
2025-07-26,               25.2,               14.5,               0.0,         7.2 , Saumur        , 2025-07-26
2025-07-27,               20.0,               17.2,              12.6,         6.5 , Saumur        , 2025-07-27
2025-07-28,               23.5,               13.3,               0.0,         6.7 , Saumur        , 2025-07-28
2025-07-29,               24.0,               17.2,               0.0,         6.1 , Saumur        , 2025-07-29
2025-07-30,               29.0,               15.9,               0.0,         6.65, Saumur        , 2025-07-30
2025-07-31,               30.8,               14.8,               0.0,         6.5 , Saumur        , 2025-07-31
2025-08-01,               21.4,               14.4,               2.1,         2.85, Saumur        , 2025-08-01
2025-07-25,               24.0,               15.2,               0.2,         6.95, Chinon        , 2025-07-25
2025-07-26,               24.6,               14.9,               0.0,         7.2 , Chinon        , 2025-07-26
2025-07-27,               20.1,               17.0,              13.8,         6.35, Chinon        , 2025-07-27
2025-07-28,               23.6,               12.8,               0.0,         6.75, Chinon        , 2025-07-28
2025-07-29,               24.1,               16.5,               0.0,         5.8 , Chinon        , 2025-07-29
2025-07-30,               29.1,               16.1,               0.0,         6.6 , Chinon        , 2025-07-30
2025-07-31,               31.7,               15.2,               0.0,         6.45, Chinon        , 2025-07-31
2025-08-01,               21.5,               14.2,               3.0,         2.25, Chinon        , 2025-08-01
2025-07-25,               23.4,               15.9,               0.2,         6.0 , Langeais      , 2025-07-25
2025-07-26,               24.4,               14.8,               0.0,         7.15, Langeais      , 2025-07-26
2025-07-27,               19.7,               16.4,              20.4,         6.15, Langeais      , 2025-07-27
2025-07-28,               23.7,               12.7,               0.0,         6.75, Langeais      , 2025-07-28
2025-07-29,               23.4,               16.7,               0.0,         6.15, Langeais      , 2025-07-29
2025-07-30,               28.8,               16.0,               0.0,         6.55, Langeais      , 2025-07-30
2025-07-31,               31.3,               15.3,               0.0,         6.3 , Langeais      , 2025-07-31
2025-08-01,               21.1,               14.5,               2.4,         2.2 , Langeais      , 2025-08-01
2025-07-25,               23.2,               15.0,               0.4,         6.25, Azay-le-Rideau, 2025-07-25
2025-07-26,               24.2,               15.0,               0.0,         7.2 , Azay-le-Rideau, 2025-07-26
2025-07-27,               19.9,               16.5,              18.9,         6.45, Azay-le-Rideau, 2025-07-27
2025-07-28,               23.6,               12.9,               0.0,         6.7 , Azay-le-Rideau, 2025-07-28
2025-07-29,               22.7,               15.8,               0.0,         5.95, Azay-le-Rideau, 2025-07-29
2025-07-30,               28.7,               15.8,               0.0,         6.6 , Azay-le-Rideau, 2025-07-30
2025-07-31,               31.2,               15.7,               0.0,         6.3 , Azay-le-Rideau, 2025-07-31
2025-08-01,               21.1,               15.0,               2.4,         2.15, Azay-le-Rideau, 2025-08-01
2025-07-25,               23.1,               15.2,               0.2,         6.35, Villandry     , 2025-07-25
2025-07-26,               24.1,               14.8,               0.0,         7.15, Villandry     , 2025-07-26
2025-07-27,               19.7,               16.4,              22.8,         6.55, Villandry     , 2025-07-27
2025-07-28,               23.7,               12.9,               0.0,         6.7 , Villandry     , 2025-07-28
2025-07-29,               23.4,               16.7,               0.0,         6.15, Villandry     , 2025-07-29
2025-07-30,               28.7,               16.0,               0.0,         6.6 , Villandry     , 2025-07-30
2025-07-31,               31.0,               15.3,               0.0,         6.4 , Villandry     , 2025-07-31
2025-08-01,               21.2,               14.8,               2.4,         2.2 , Villandry     , 2025-08-01
2025-07-25,               22.3,               15.1,               0.6,         7.0 , Loches        , 2025-07-25
2025-07-26,               23.8,               15.6,               0.0,         7.2 , Loches        , 2025-07-26
2025-07-27,               19.9,               16.3,              18.9,         6.85, Loches        , 2025-07-27
2025-07-28,               23.6,               13.1,               0.0,         6.45, Loches        , 2025-07-28
2025-07-29,               22.5,               16.0,               0.0,         6.2 , Loches        , 2025-07-29
2025-07-30,               28.6,               15.5,               0.0,         6.7 , Loches        , 2025-07-30
2025-07-31,               31.3,               15.4,               0.0,         6.4 , Loches        , 2025-07-31
2025-08-01,               22.2,               15.2,               2.1,         2.85, Loches        , 2025-08-01
2025-07-25,               22.8,               14.9,               0.2,         7.05, Amboise       , 2025-07-25
2025-07-26,               24.2,               15.0,               0.0,         7.15, Amboise       , 2025-07-26
2025-07-27,               19.7,               16.6,              19.8,         6.6 , Amboise       , 2025-07-27
2025-07-28,               24.2,               13.4,               0.0,         6.7 , Amboise       , 2025-07-28
2025-07-29,               23.1,               16.8,               0.0,         5.25, Amboise       , 2025-07-29
2025-07-30,               28.7,               17.2,               0.0,         6.7 , Amboise       , 2025-07-30
2025-07-31,               30.8,               14.8,               0.0,         6.25, Amboise       , 2025-07-31
2025-08-01,               21.6,               15.3,               2.1,         2.1 , Amboise       , 2025-08-01
2025-07-25,               23.7,               15.9,               0.6,         6.95, Tours         , 2025-07-25
2025-07-26,               24.6,               15.7,               0.0,         7.2 , Tours         , 2025-07-26
2025-07-27,               20.2,               16.5,              19.8,         6.45, Tours         , 2025-07-27
2025-07-28,               23.7,               13.4,               0.0,         6.75, Tours         , 2025-07-28
2025-07-29,               23.0,               16.3,               0.0,         6.0 , Tours         , 2025-07-29
2025-07-30,               28.6,               16.2,               0.0,         6.65, Tours         , 2025-07-30
2025-07-31,               30.9,               16.0,               0.0,         6.35, Tours         , 2025-07-31
2025-08-01,               21.3,               16.1,               2.4,         1.95, Tours         , 2025-08-01
2025-07-25,               21.6,               15.0,               0.9,         6.35, Montrésor     , 2025-07-25
2025-07-26,               23.7,               15.5,               0.0,         7.2 , Montrésor     , 2025-07-26
2025-07-27,               19.4,               15.9,              17.4,         6.9 , Montrésor     , 2025-07-27
2025-07-28,               22.9,               12.8,               0.3,         5.95, Montrésor     , 2025-07-28
2025-07-29,               21.8,               15.4,               0.0,         6.55, Montrésor     , 2025-07-29
2025-07-30,               27.9,               15.0,               0.0,         6.75, Montrésor     , 2025-07-30
2025-07-31,               30.8,               15.3,               0.0,         6.3 , Montrésor     , 2025-07-31
2025-08-01,               23.2,               14.9,               1.5,         3.3 , Montrésor     , 2025-08-01
2025-07-25,               22.6,               14.3,               0.7,         7.05, Chenonceaux   , 2025-07-25
2025-07-26,               23.8,               15.4,               0.0,         7.15, Chenonceaux   , 2025-07-26
2025-07-27,               20.0,               16.3,              21.9,         6.7 , Chenonceaux   , 2025-07-27
2025-07-28,               23.3,               13.3,               0.0,         6.3 , Chenonceaux   , 2025-07-28
2025-07-29,               22.4,               15.6,               0.0,         5.55, Chenonceaux   , 2025-07-29
2025-07-30,               28.4,               15.2,               0.0,         6.75, Chenonceaux   , 2025-07-30
2025-07-31,               30.8,               14.6,               0.0,         6.2 , Chenonceaux   , 2025-07-31
2025-08-01,               21.7,               15.3,               1.8,         2.05, Chenonceaux   , 2025-08-01
2025-07-25,               22.4,               13.9,               0.5,         7.0 , Cheverny      , 2025-07-25
2025-07-26,               23.5,               14.9,               0.0,         7.1 , Cheverny      , 2025-07-26
2025-07-27,               18.7,               16.0,              18.9,         6.9 , Cheverny      , 2025-07-27
2025-07-28,               22.8,               12.6,               0.0,         6.4 , Cheverny      , 2025-07-28
2025-07-29,               22.2,               14.9,               0.0,         5.2 , Cheverny      , 2025-07-29
2025-07-30,               28.5,               14.8,               0.0,         6.65, Cheverny      , 2025-07-30
2025-07-31,               30.9,               14.4,               0.0,         6.15, Cheverny      , 2025-07-31
2025-08-01,               21.9,               15.1,               1.8,         2.25, Cheverny      , 2025-08-01
2025-07-25,               23.1,               15.0,               1.2,         6.65, Blois         , 2025-07-25
2025-07-26,               23.9,               14.9,               0.0,         7.15, Blois         , 2025-07-26
2025-07-27,               19.3,               16.1,              18.0,         6.75, Blois         , 2025-07-27
2025-07-28,               23.0,               13.1,               0.0,         6.3 , Blois         , 2025-07-28
2025-07-29,               22.3,               15.0,               0.0,         5.15, Blois         , 2025-07-29
2025-07-30,               28.1,               14.8,               0.0,         6.65, Blois         , 2025-07-30
2025-07-31,               30.8,               14.5,               0.0,         6.5 , Blois         , 2025-07-31
2025-08-01,               21.3,               15.2,               2.1,         1.8 , Blois         , 2025-08-01
2025-07-25,               23.8,               15.2,               3.8,         6.8 , Orléans       , 2025-07-25
2025-07-26,               24.2,               15.4,               0.0,         7.05, Orléans       , 2025-07-26
2025-07-27,               19.4,               15.9,              10.2,         6.95, Orléans       , 2025-07-27
2025-07-28,               22.9,               13.2,               0.0,         6.2 , Orléans       , 2025-07-28
2025-07-29,               22.4,               14.1,               0.0,         5.45, Orléans       , 2025-07-29
2025-07-30,               27.2,               15.4,               0.0,         6.55, Orléans       , 2025-07-30
2025-07-31,               30.3,               16.8,               0.0,         6.6 , Orléans       , 2025-07-31
2025-08-01,               22.2,               16.1,               1.8,         2.0 , Orléans       , 2025-08-01
